Razao Social;Fundo;Segmento;Codigo
HECTARE RECEBIVEIS HIGH GRADE FDO. INV. IMOB.;FII HECT CRI;;HCHG;
HEDGE AAA FDO. INV. IMOB.;FII HEDGEAAA;;HAAA;
HEDGE ATRIUM SHOPPING SANTO ANDRE FDO INV IMOB;FII HATRIUM;;ATSA;
HEDGE BRASIL SHOPPING FDO INV IMOB;FII HEDGEBS;;HGBS;
HEDGE DESENVOLVIMENTO LOGISTICO FDO INV IMOB;FII HEDGE DV;;HDEL;
HEDGE FLORIPA SHOPPING FUNDO INV IMOBI;FII FLORIPA;;FLRP;
HEDGE LOGISTICA FDO. INV. IMOB.;FII HEDGELOG;;HLOG;
HEDGE OFFICE INCOME FUNDO DE INVESTIMENTO IMOB.;FII HOFFICEI;;HOFC;
HEDGE PALADIN DESIGN OFFICES FDO INV IMOB;FII HEDGE OF;;HDOF;
HEDGE REALTY DEVELOPMENT FDO INV IMOB;FII HREALTY;;HRDF;
HEDGE RECEBIVEIS IMOB. FUNDO DE INVST. IMOB.;FII HEDGEREC;;HREC;
HEDGE SEED FUNDO DE INVESTIMENTO IMOBILIARIO;FII HEDGE SD;;SEED;
HEDGE SHOPPING PARQUE DOM PEDRO FDO. DE INV. IMOB.;FII HEDGEPDP;;HPDP;
HEDGE TOP FOFII 3 FDO INV IMOB;FII HTOPFOF3;;HFOF;
HGI CREDITOS IMOBILIARIOS FDO. INV. IMOB.;FII HGI CRI;;HGIC;
HIRE LOG I FDO DE INV IMOB;FII HIRE LOG;;HILG;
HSI ATIVOS FINANCEIROS FUNDO DE INVESTIMENTO IMOBI;FII HSI CRI;;HSAF;
HSI LOGISTICA FUNDO DE INVESTIMENTO IMOBILIARIO;FII HSI LOG;;HSLG;
HSI MALL FDO INV IMOB;FII HSI MALL;;HSML;
HSI RENDA IMOB FDO INV IMOB;FII HSIRENDA;;HSRE;
HUSI FDO INV. IMOB.;FII HUSI;;HUSI;
INTER TEVA INDICE DE PAPEL FUNDO DE INVESTIMENTO;FII INTER IP;;ITIP;
INTER TITULOS IMOB. FDO INV. IMOB.;FII INTER;;BICR;
IRIDIUM FUNDO DE INVESTIMENTO IMOBILIARIO;FII IRIM;;IRIM;
ITAU TEMPUS FUNDO DE INVESTIMENTO IMOBILIARIO;FII ITAU TEM;;TMPS;
JACARANDA 02 FUNDO DE INVESTIMENTO IMOBILIARIO FII;FII JCDB 02;;JCDB;
JACARANDA I FUNDO DE INVESTIMENTO IMOBILIARIO -FII;FII JCDA I;;JCDA;
JBFO FOF FDO INV. IMOB.;FII JBFO FOF;;JBFO;
JFDCAM FUNDO DE INVESTIMENTO IMOBILIARIO FII;FII JFDCAM;;VJFD;
JFL LIVING FDO. INV. IMOB.;FII JFL LIV;;JFLL;
JPP CAPITAL FDO INV IMOB - FII;FII JPP CAPI;;JPPC;
JPP CAPITAL RECEBIVEIS IMOB. FDO. INVEST. IMOB.;FII JPPA CRI;;JPPA;
JS ATIVOS FINANCEIROS FDO DE INV IMOBILIARIO;FII JS A FIN;;JSAF;
JS REAL ESTATE MULTIGESTAO - FII;FII JS REAL;;JSRE;
JT PREV FDO INV IMOB DESENVOLVIMENTO HABITACIONAL;FII JT PREV;;JTPR;
KILIMA FIC FDO. IMOB. SUNO 30;FII KILIMA;;KISU;
KILIMA VOLKANO RECEBIVEIS IMOB FDO DE INV IMOB;FII KIVO;;KIVO;
KINEA CREDITAS FDO DE INV IMOBILIARIO - FII;FII KINEA CR;;KCRE;
KINEA HEDGE FUND FDO DE INV IMOB;FII KINEA HF;;KNHF;
KINEA HIGH YIELD CRI FDO INV IMOB - FII;FII KINEA HY;;KNHY;
KINEA II REAL ESTATE EQUITY FDO INV IMOB;FII KII REAL;;KNRE;
KINEA INDICES DE PRECOS FDO INV IMOB - FII;FII KINEA IP;;KNIP;
KINEA PREMIUM PROPERTIES FDO INV IMOB;FII KINEA PR;;KNPR;
KINEA RENDA IMOBILIARIA FDO INV IMOB - FII;FII KINEA;;KNRI;
KINEA RENDIMENTOS IMOBILIARIOS FDO INV IMOB - FII;FII KINEA RI;;KNCR;
KINEA SECURITIES FDO. DE INV. IMOB. - FII;FII KINEA SC;;KNSC;
KINEA UNIQUE HY CDI FUNDO DE INVESTIMENTO IMOB;FII KINEA UN;;KNUQ;
LAGO DA PEDRA - FUNDO DE INVESTIMENTO IMOBILIARIO;FII LAGO PDR;;LPLP;
LAV SLDZ DESENVOLVIMENTO IMOB FDO INV IMOB;FII LAV SLDZ;;SLDZ;
LEGATUS SHOPPINGS FDO. INV. IMOB. - FII;FII LEGATUS;;LASC;
LESTE RIVA EQUITY PREFERENCIAL I FDO. INV. IMOB.;FII LESTE PA;;LSPA;
LIFE CAPITAL PARTNERS FUNDO DE INVESTIMENTO IMOB;FII LIFE;;LIFE;
LOFT I - FDO INV IMOB;FII LOFT I;MB;LOFT;
LOFT II FUNDO DE INVESTIMENTO IMOBILIARIO;FII LOFT II;;LFTT;
LOGCP INTER FDO INV IMOB;FII LGCP INT;;LGCP;
LUGGO FDO. INV. IMOB.;FII LUGGO;;LUGG;
MALLS BRASIL PLURAL FDO INV IMOB;FII MALLS BP;;MALL;
MANATI CAPITAL HEDGE FUND FDO INV IMOB;FII MANATI;;MANA;
MARESIAS FUNDO DE INVESTIMENTO IMOBILIARIO;FII MMVE OP;;MMVE;
MAUA CAPITAL HEDGE FUND - FDO. INVEST. IMOB.;FII MAUA HF;;MCHF;
MAXI RENDA FDO INV IMOB - FII;FII MAXI REN;;MXRF;
MERITO DESENVOLVIMENTO IMOBILIARIO I FII - FII;FII MERITO I;;MFII;
MERITO FDO. ACOES IMOB. FII - FDO INV. IMOB.;FII MERITOFA;;MFAI;
MERITO RECEBIVEIS IMOBILIARIOS FII - FDO INV IMOB;FII MERITO R;;MFCR;
MOGNO PROPERTIES FUNDO DE INVESTIMENTO IMOBILIARIO;FII MGRI;;MGRI;
MORE GESTAO ATIVA DE RECEBIVEIS FDO DE INV IMOB;FII MORE ATV;;MATV;
MORE REAL ESTATE FOF FII FDO. INV. IMOB.;FII MORE RE;;MORE;
MORE RECEBIVEIS IMOBILIARIOS FII FDO. INV. IMOB.;FII MORE CRI;;MORC;
MULTI SHOPPINGS FDO INV IMOB - FII;FII MULTSHOP;;SHOP;
MULTIGESTAO RENDA COMERCIAL FDO INV IMOB - FII;FII MTGESTAO;MB;DRIT;
MULTIOFFICES 2 - FDO. INV. IMOB.;FII MULT OF2;;MOFF;
NAVI CREDITO IMOBILIARIO - FDO INV IMOB;FII NAVI CRI;;NCRI;
NAVI IMOBILIARIO TOTAL RETURN FDO. INVEST. IMOB.;FII NAVI TOT;;NAVT;
